[2023-02-08 15:47:00.594540]: [{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\sum.py', 'result': 'ignored'}]
[2023-02-08 15:47:01.583932]: [{'Suspicious extention': True}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus.bat', 'result': 'potential threat'}]
[2023-02-08 15:48:18.252544]: [{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': True}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\helloworld.txt', 'result': 'potential threat'}]
[2023-02-08 15:48:19.162779]: [{'Suspicious extention': True}, {'Contain system call functions': True}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus\\virus.js', 'result': 'potential threat'}]
[2023-02-08 15:48:21.044129]: [{'Suspicious extention': True}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus\\virus.lnk', 'result': 'potential threat'}]
[2023-02-08 15:48:21.102102]: [{'Normal extention': False}, {'Contain system call functions': True}, {'Contain IP address or URL': False}, {'Is a malware': True}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\obfsum.py', 'result': 'virus'}]
[2023-02-08 15:48:22.052840]: [{'Suspicious extention': True}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus\\virus.vbs', 'result': 'potential threat'}]
[2023-02-08 15:48:23.009126]: [{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\sum.py', 'result': 'ignored'}]
[2023-02-08 15:48:24.019454]: [{'Suspicious extention': True}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus.bat', 'result': 'potential threat'}]
[2023-02-08 15:49:07.166093]: [{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': True}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\helloworld.txt', 'result': 'potential threat'}]
[2023-02-08 15:49:08.079549]: [{'Suspicious extention': True}, {'Contain system call functions': True}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus\\virus.js', 'result': 'potential threat'}]
[2023-02-08 15:49:09.895482]: [{'Suspicious extention': True}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus\\virus.lnk', 'result': 'potential threat'}]
[2023-02-08 15:49:09.962502]: [{'Normal extention': False}, {'Contain system call functions': True}, {'Contain IP address or URL': False}, {'Is a malware': True}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\obfsum.py', 'result': 'virus'}]
[2023-02-08 15:49:10.934692]: [{'Suspicious extention': True}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus\\virus.vbs', 'result': 'potential threat'}]
[2023-02-08 15:49:11.822643]: [{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\sum.py', 'result': 'ignored'}]
[2023-02-08 15:49:12.826126]: [{'Suspicious extention': True}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus.bat', 'result': 'potential threat'}]
[2023-02-08 16:10:59.421838]: [{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': True}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\helloworld.txt', 'result': 'potential threat'}]
[2023-02-08 16:11:00.359591]: [{'Suspicious extention': True}, {'Contain system call functions': True}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus\\virus.js', 'result': 'potential threat'}]
[2023-02-08 16:11:02.293140]: [{'Suspicious extention': True}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus\\virus.lnk', 'result': 'potential threat'}]
[2023-02-08 16:11:02.345150]: [{'Normal extention': False}, {'Contain system call functions': True}, {'Contain IP address or URL': False}, {'Is a malware': True}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\obfsum.py', 'result': 'virus'}]
[2023-02-08 16:11:03.289729]: [{'Suspicious extention': True}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus\\virus.vbs', 'result': 'potential threat'}]
[2023-02-08 16:11:04.172128]: [{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\sum.py', 'result': 'ignored'}]
[2023-02-08 16:11:05.169751]: [{'Suspicious extention': True}, {'Contain system call functions': False}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus.bat', 'result': 'potential threat'}]
[2023-02-08 16:12:47.704601]: [{'Normal extention': False}, {'Contain system call functions': False}, {'Contain IP address or URL': True}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\helloworld.txt', 'result': 'potential threat'}]
[2023-02-08 16:12:48.616189]: [{'Suspicious extention': True}, {'Contain system call functions': True}, {'Contain IP address or URL': False}, {'Normal extention': False}, {'file': 'C:/Users/98218/OneDrive/Desktop/virus\\virus\\virus.js', 'result': 'potential threat'}]
